itemId,title,price,original_price,discount_amount,currency,condition,url,location
v1|197987504659|0,Fender Classic Player Jazzmaster Special 3-Color Sunburst Electric Guitar w/Bag,799.99,,,USD,3000,https://www.ebay.com/itm/197987504659?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item2e18f99213:g:OccAAeSwDJFpUw1g,CA
v1|257186995107|0,Gibson Les Paul Studio Electric Guitar - Ebony,899.0,,,USD,3000,https://www.ebay.com/itm/257186995107?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item3be18a1ba3:g:NCUAAeSw9wppBjKn,US
v1|227039267565|0,"Fender x Hello Kitty Stratocaster Limited Edition Electric Guitar, White",579.99,,,USD,1000,https://www.ebay.com/itm/227039267565?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item34dc984aed:g:lPkAAeSwHvZo-iq3,US
v1|389353446898|0,Fender Player Plus Telecaster Electric Guitar,649.99,,,USD,3000,https://www.ebay.com/itm/389353446898?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item5aa7461df2:g:29sAAeSw6odpOImP&amdata=enc%3AAQAKAAABgPeG5RIuIyokJHJy903%2F5UYAZ9CQmwAXVY%2Bybni9J89qn%2Bfx9gyUhPskLCFWPkJ5seHqCmge1Y4tmRAXcolNakuZ0TUGVYY29CE%2Flb5Da4Ro80%2ByNLY8C%2BVG08vSX8HqIYVyYrGloXMKMholZ4KD2oiMEsNOBZHyIzttx7yNCC2wR%2B%2Bp3Tj269iZhBpc8v%2F4cr4hDggFm8u%2Fkr8VOGivP7UODziodG7Sh9JYC6a616MnfzuuXuB1DD5KdCBuarTAjwY73ALDLQIyw3Z9KKvSA3YYcWEXiKicm5VJq%2FRuXmdwUlMOfwCJywUsy6ssuR6zLM0hbxN4XHLUzdXCUetqTSW1wwW0fQBygrt%2B1tkEXWCC65ocd60wd5h%2FHEcbGcsERupTKQg4vOZvYpLt3uaAKbfMgBErczog3GQKvnexonl6ihEyzHFiFA01SwxKgOw%2FUYsEmWtMwNfS5hsbFiT%2BdUSU7eecy1lm6ntqCDomXXQkrvuKDABLEIMyFif5IGtdlA%3D%3D,US
v1|389352630843|0,Fender Standard Stratocaster Electric Guitar Olympic White Finish Indonesia,475.0,,,USD,3000,https://www.ebay.com/itm/389352630843?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item5aa739aa3b:g:dOQAAeSwMIJpODzv&amdata=enc%3AAQAKAAABgPeG5RIuIyokJHJy903%2F5Ua71MlWSB%2FdcIE1aoq6ewbmZA8UNZjP8E3yeABsTksR4V7RUj0iL4SiwXQrfKfLnX875Q04m0BaUEO1D04Te%2BMdCMTqC6ZNetCI6eRC04PMj6ygaKkRBL6dwLLozZLhuEGFqqUFtUtw0c%2B%2FFgT8t80jPpueIURYHOExpbrcPIFw8xYR9714ZVDoIdCXv0afyKMvwE%2FEK%2F3fEBrliHaGxNMpklQXOZQDusIUoEigJZh%2FN%2F4CSbm5is7H%2B5tymhx0uqrV%2BG3lxUm1sY9CUJwQ0an5riG97WOqqAhKmo1fm16EtIG3lSY9u2YWURw9QscfZHSBJkfsI53De35iGnlPT9dOzyPXvlFtyoA1ky5jfZtVIhq%2BD2Dab6eQi5IpqQ92wMumoGOx0jOKqhff6HKHebszyjdP9ShZ5xWTdl%2BdEVF5zEhsvjsW9pKlZHmpOtPmDKX8JL1PieWi7XgX3DwL%2F799ytlBAN6%2BZY4HHQZV%2Byq32Q%3D%3D,US
v1|205790162667|0,Electric guitar  Red semi hollow white fender silver fittings,379.0,,,USD,1000,https://www.ebay.com/itm/205790162667?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item2fea0caeeb:g:J6sAAeSw~5Bo8Z8Q&amdata=enc%3AAQAKAAABgPeG5RIuIyokJHJy903%2F5UZbhqLbamgz73tnX1OLxEf3FV9fGWRF1QEp5qbsOpyLBAIoxJLukErBIpuXYqEL3x7WhTfi5It6%2F2oV66gPv48qYvAR%2FR3KT1x9X0hj57Mu%2BLMxkvrYBoftYaob3v5f%2FNWhNhDfmDUtyWnuYkbaVl%2FkkL2UNHNfw1odTEsYoYAERCTyjap%2BDiXdDX6yrRsPXrwOSFkVitslCdX2E4%2FfBdK4usSpI%2BY4%2BWDlnwSkVLKLwsIKaWP9%2F33LK4TUtvpkSZRFAw6i9eaRsvcJ0G1rWryraMTM0l5Xn5U22r14R0SuzJSDkKoP64rYFTLDNhmhvauXBksw33on7u03zKln8Imut5g%2FuuvgjwoHXMkuuwt2EneSdppR2KFNHn%2BG2W6A2XhYNl85KX5eCQEMhY%2B9vUTBJvHydhn5PYGlb36wzKI8CMlYlIbMA1ChRkgeRCb%2Fz6am1HMEXJzbvZtNQvffAO6M4hlnj79c0JTqZwfg5nzZLQ%3D%3D,CN
v1|136905242573|0,Epiphone Dot Studio Hollow Body Electric Guitar Cherry Red WITH SOFTSHELL CASE,465.0,,,USD,3000,https://www.ebay.com/itm/136905242573?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item1fe03037cd:g:jJgAAeSwRXhpVZwF,US
v1|267524335613|0,Fender Standard Telecaster Electric Guitar - Olympic White & PLEK*D #961,629.99,,,USD,1000,https://www.ebay.com/itm/267524335613?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item3e49b167fd:g:GW8AAeSw4cVpJhx8,US
v1|177686797048|0,Fender Standard Stratocaster (2025) Electric Guitar Aqua Marine Metallic Finish,449.96,499.95,49.99,USD,3000,https://www.ebay.com/itm/177686797048?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item295ef55af8:g:XDQAAeSwyqZpRFZT,US
v1|147063400724|0,1989 Fender USA Strat Plus Body Black Pearl Burst - American Electric Guitar 80s,348.5,,,USD,3000,https://www.ebay.com/itm/147063400724?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item223da96914:g:67kAAeSw87ZpVDz-,US
